"product_id","product_name","primary_packshot","lifestyle_image","supplement_facts_panel","label_closeup"
"core-base-resveratrol-capsules","Core Base Resveratrol Capsules","assets/products/core-base-resveratrol-capsules/primary.avif","assets/products/core-base-resveratrol-capsules/lifestyle.avif","assets/products/core-base-resveratrol-capsules/supplement-facts.avif","assets/products/core-base-resveratrol-capsules/label-closeup.avif"
"core-base-garlic-capsules","Core Base Garlic Capsules","assets/products/core-base-garlic-capsules/primary.avif","assets/products/core-base-garlic-capsules/lifestyle.avif","assets/products/core-base-garlic-capsules/supplement-facts.avif","assets/products/core-base-garlic-capsules/label-closeup.avif"
"core-focus-gingko-biloba-capsules","Core Focus Gingko Biloba Capsules","assets/products/core-focus-gingko-biloba-capsules/primary.avif","assets/products/core-focus-gingko-biloba-capsules/lifestyle.avif","assets/products/core-focus-gingko-biloba-capsules/supplement-facts.avif","assets/products/core-focus-gingko-biloba-capsules/label-closeup.avif"
"core-focus-ginseng-capsules","Core Focus Ginseng Capsules","assets/products/core-focus-ginseng-capsules/primary.avif","assets/products/core-focus-ginseng-capsules/lifestyle.avif","assets/products/core-focus-ginseng-capsules/supplement-facts.avif","assets/products/core-focus-ginseng-capsules/label-closeup.avif"
"core-recovery-saw-palmetto-capsules","Core Recovery Saw Palmetto Capsules","assets/products/core-recovery-saw-palmetto-capsules/primary.avif","assets/products/core-recovery-saw-palmetto-capsules/lifestyle.avif","assets/products/core-recovery-saw-palmetto-capsules/supplement-facts.avif","assets/products/core-recovery-saw-palmetto-capsules/label-closeup.avif"
"core-base-cranberry-capsules","Core Base Cranberry Capsules","assets/products/core-base-cranberry-capsules/primary.avif","assets/products/core-base-cranberry-capsules/lifestyle.avif","assets/products/core-base-cranberry-capsules/supplement-facts.avif","assets/products/core-base-cranberry-capsules/label-closeup.avif"
"core-recovery-glucosamine-chondroitin-capsules","Core Recovery Glucosamine Chondroitin Capsules","assets/products/core-recovery-glucosamine-chondroitin-capsules/primary.avif","assets/products/core-recovery-glucosamine-chondroitin-capsules/lifestyle.avif","assets/products/core-recovery-glucosamine-chondroitin-capsules/supplement-facts.avif","assets/products/core-recovery-glucosamine-chondroitin-capsules/label-closeup.avif"
"core-recovery-hyaluronic-acid-capsules","Core Recovery Hyaluronic Acid Capsules","assets/products/core-recovery-hyaluronic-acid-capsules/primary.avif","assets/products/core-recovery-hyaluronic-acid-capsules/lifestyle.avif","assets/products/core-recovery-hyaluronic-acid-capsules/supplement-facts.avif","assets/products/core-recovery-hyaluronic-acid-capsules/label-closeup.avif"
"core-focus-mct-oil-liquid","Core Focus MCT Oil Liquid","assets/products/core-focus-mct-oil-liquid/primary.avif","assets/products/core-focus-mct-oil-liquid/lifestyle.avif","assets/products/core-focus-mct-oil-liquid/supplement-facts.avif","assets/products/core-focus-mct-oil-liquid/label-closeup.avif"
"core-performance-l-arginine-capsules","Core Performance L-arginine Capsules","assets/products/core-performance-l-arginine-capsules/primary.avif","assets/products/core-performance-l-arginine-capsules/lifestyle.avif","assets/products/core-performance-l-arginine-capsules/supplement-facts.avif","assets/products/core-performance-l-arginine-capsules/label-closeup.avif"
"core-base-l-glutamine-capsules","Core Base L-glutamine Capsules","assets/products/core-base-l-glutamine-capsules/primary.avif","assets/products/core-base-l-glutamine-capsules/lifestyle.avif","assets/products/core-base-l-glutamine-capsules/supplement-facts.avif","assets/products/core-base-l-glutamine-capsules/label-closeup.avif"
"core-focus-l-carnitine-capsules","Core Focus L-carnitine Capsules","assets/products/core-focus-l-carnitine-capsules/primary.avif","assets/products/core-focus-l-carnitine-capsules/lifestyle.avif","assets/products/core-focus-l-carnitine-capsules/supplement-facts.avif","assets/products/core-focus-l-carnitine-capsules/label-closeup.avif"
"core-base-spirulina-capsules","Core Base Spirulina Capsules","assets/products/core-base-spirulina-capsules/primary.avif","assets/products/core-base-spirulina-capsules/lifestyle.avif","assets/products/core-base-spirulina-capsules/supplement-facts.avif","assets/products/core-base-spirulina-capsules/label-closeup.avif"
"core-base-chlorella-capsules","Core Base Chlorella Capsules","assets/products/core-base-chlorella-capsules/primary.avif","assets/products/core-base-chlorella-capsules/lifestyle.avif","assets/products/core-base-chlorella-capsules/supplement-facts.avif","assets/products/core-base-chlorella-capsules/label-closeup.avif"
"core-base-moringa-capsules","Core Base Moringa Capsules","assets/products/core-base-moringa-capsules/primary.avif","assets/products/core-base-moringa-capsules/lifestyle.avif","assets/products/core-base-moringa-capsules/supplement-facts.avif","assets/products/core-base-moringa-capsules/label-closeup.avif"
"core-base-maca-root-capsules","Core Base Maca Root Capsules","assets/products/core-base-maca-root-capsules/primary.avif","assets/products/core-base-maca-root-capsules/lifestyle.avif","assets/products/core-base-maca-root-capsules/supplement-facts.avif","assets/products/core-base-maca-root-capsules/label-closeup.avif"
"core-performance-beetroot-powder","Core Performance Beetroot Powder","assets/products/core-performance-beetroot-powder/primary.avif","assets/products/core-performance-beetroot-powder/lifestyle.avif","assets/products/core-performance-beetroot-powder/supplement-facts.avif","assets/products/core-performance-beetroot-powder/label-closeup.avif"
"core-base-electrolyte-powder","Core Base Electrolyte Powder","assets/products/core-base-electrolyte-powder/primary.avif","assets/products/core-base-electrolyte-powder/lifestyle.avif","assets/products/core-base-electrolyte-powder/supplement-facts.avif","assets/products/core-base-electrolyte-powder/label-closeup.avif"
"core-recovery-sleep-tea","Core Recovery Sleep Tea","assets/products/core-recovery-sleep-tea/primary.avif","assets/products/core-recovery-sleep-tea/lifestyle.avif","assets/products/core-recovery-sleep-tea/supplement-facts.avif","assets/products/core-recovery-sleep-tea/label-closeup.avif"
"core-recovery-detox-tea","Core Recovery Detox Tea","assets/products/core-recovery-detox-tea/primary.avif","assets/products/core-recovery-detox-tea/lifestyle.avif","assets/products/core-recovery-detox-tea/supplement-facts.avif","assets/products/core-recovery-detox-tea/label-closeup.avif"
"core-focus-energy-tea","Core Focus Energy Tea","assets/products/core-focus-energy-tea/primary.avif","assets/products/core-focus-energy-tea/lifestyle.avif","assets/products/core-focus-energy-tea/supplement-facts.avif","assets/products/core-focus-energy-tea/label-closeup.avif"
"core-recovery-melatonin-tablets","Core Recovery Melatonin Tablets","assets/products/core-recovery-melatonin-tablets/primary.avif","assets/products/core-recovery-melatonin-tablets/lifestyle.avif","assets/products/core-recovery-melatonin-tablets/supplement-facts.avif","assets/products/core-recovery-melatonin-tablets/label-closeup.avif"
"core-recovery-5-htp-capsules","Core Recovery 5-HTP Capsules","assets/products/core-recovery-5-htp-capsules/primary.avif","assets/products/core-recovery-5-htp-capsules/lifestyle.avif","assets/products/core-recovery-5-htp-capsules/supplement-facts.avif","assets/products/core-recovery-5-htp-capsules/label-closeup.avif"
"core-recovery-gaba-capsules","Core Recovery GABA Capsules","assets/products/core-recovery-gaba-capsules/primary.avif","assets/products/core-recovery-gaba-capsules/lifestyle.avif","assets/products/core-recovery-gaba-capsules/supplement-facts.avif","assets/products/core-recovery-gaba-capsules/label-closeup.avif"
"core-recovery-valerian-root-capsules","Core Recovery Valerian Root Capsules","assets/products/core-recovery-valerian-root-capsules/primary.avif","assets/products/core-recovery-valerian-root-capsules/lifestyle.avif","assets/products/core-recovery-valerian-root-capsules/supplement-facts.avif","assets/products/core-recovery-valerian-root-capsules/label-closeup.avif"
"core-recovery-st-johns-wort-capsules","Core Recovery St. Johns Wort Capsules","assets/products/core-recovery-st-johns-wort-capsules/primary.avif","assets/products/core-recovery-st-johns-wort-capsules/lifestyle.avif","assets/products/core-recovery-st-johns-wort-capsules/supplement-facts.avif","assets/products/core-recovery-st-johns-wort-capsules/label-closeup.avif"
"core-base-dhea-capsules","Core Base DHEA Capsules","assets/products/core-base-dhea-capsules/primary.avif","assets/products/core-base-dhea-capsules/lifestyle.avif","assets/products/core-base-dhea-capsules/supplement-facts.avif","assets/products/core-base-dhea-capsules/label-closeup.avif"
"core-focus-cla-softgels","Core Focus CLA Softgels","assets/products/core-focus-cla-softgels/primary.avif","assets/products/core-focus-cla-softgels/lifestyle.avif","assets/products/core-focus-cla-softgels/supplement-facts.avif","assets/products/core-focus-cla-softgels/label-closeup.avif"
"core-focus-garcinia-cambogia-capsules","Core Focus Garcinia Cambogia Capsules","assets/products/core-focus-garcinia-cambogia-capsules/primary.avif","assets/products/core-focus-garcinia-cambogia-capsules/lifestyle.avif","assets/products/core-focus-garcinia-cambogia-capsules/supplement-facts.avif","assets/products/core-focus-garcinia-cambogia-capsules/label-closeup.avif"
"core-focus-green-coffee-bean-capsules","Core Focus Green Coffee Bean Capsules","assets/products/core-focus-green-coffee-bean-capsules/primary.avif","assets/products/core-focus-green-coffee-bean-capsules/lifestyle.avif","assets/products/core-focus-green-coffee-bean-capsules/supplement-facts.avif","assets/products/core-focus-green-coffee-bean-capsules/label-closeup.avif"
"core-focus-raspberry-ketones-capsules","Core Focus Raspberry Ketones Capsules","assets/products/core-focus-raspberry-ketones-capsules/primary.avif","assets/products/core-focus-raspberry-ketones-capsules/lifestyle.avif","assets/products/core-focus-raspberry-ketones-capsules/supplement-facts.avif","assets/products/core-focus-raspberry-ketones-capsules/label-closeup.avif"
"core-focus-forskolin-capsules","Core Focus Forskolin Capsules","assets/products/core-focus-forskolin-capsules/primary.avif","assets/products/core-focus-forskolin-capsules/lifestyle.avif","assets/products/core-focus-forskolin-capsules/supplement-facts.avif","assets/products/core-focus-forskolin-capsules/label-closeup.avif"
"core-recovery-apple-cider-vinegar-capsules","Core Recovery Apple Cider Vinegar Capsules","assets/products/core-recovery-apple-cider-vinegar-capsules/primary.avif","assets/products/core-recovery-apple-cider-vinegar-capsules/lifestyle.avif","assets/products/core-recovery-apple-cider-vinegar-capsules/supplement-facts.avif","assets/products/core-recovery-apple-cider-vinegar-capsules/label-closeup.avif"
"core-recovery-charcoal-detox-capsules","Core Recovery Charcoal Detox Capsules","assets/products/core-recovery-charcoal-detox-capsules/primary.avif","assets/products/core-recovery-charcoal-detox-capsules/lifestyle.avif","assets/products/core-recovery-charcoal-detox-capsules/supplement-facts.avif","assets/products/core-recovery-charcoal-detox-capsules/label-closeup.avif"
"core-recovery-psyllium-husk-liquid","Core Recovery Psyllium Husk Liquid","assets/products/core-recovery-psyllium-husk-liquid/primary.avif","assets/products/core-recovery-psyllium-husk-liquid/lifestyle.avif","assets/products/core-recovery-psyllium-husk-liquid/supplement-facts.avif","assets/products/core-recovery-psyllium-husk-liquid/label-closeup.avif"
"core-base-flaxseed-oil-softgels","Core Base Flaxseed Oil Softgels","assets/products/core-base-flaxseed-oil-softgels/primary.avif","assets/products/core-base-flaxseed-oil-softgels/lifestyle.avif","assets/products/core-base-flaxseed-oil-softgels/supplement-facts.avif","assets/products/core-base-flaxseed-oil-softgels/label-closeup.avif"
"core-base-krill-oil-softgels","Core Base Krill Oil Softgels","assets/products/core-base-krill-oil-softgels/primary.avif","assets/products/core-base-krill-oil-softgels/lifestyle.avif","assets/products/core-base-krill-oil-softgels/supplement-facts.avif","assets/products/core-base-krill-oil-softgels/label-closeup.avif"
"core-base-cod-liver-oil-softgels","Core Base Cod Liver Oil Softgels","assets/products/core-base-cod-liver-oil-softgels/primary.avif","assets/products/core-base-cod-liver-oil-softgels/lifestyle.avif","assets/products/core-base-cod-liver-oil-softgels/supplement-facts.avif","assets/products/core-base-cod-liver-oil-softgels/label-closeup.avif"
"core-recovery-evening-primrose-oil-softgels","Core Recovery Evening Primrose Oil Softgels","assets/products/core-recovery-evening-primrose-oil-softgels/primary.avif","assets/products/core-recovery-evening-primrose-oil-softgels/lifestyle.avif","assets/products/core-recovery-evening-primrose-oil-softgels/supplement-facts.avif","assets/products/core-recovery-evening-primrose-oil-softgels/label-closeup.avif"
"core-base-black-seed-oil-liquid","Core Base Black Seed Oil Liquid","assets/products/core-base-black-seed-oil-liquid/primary.avif","assets/products/core-base-black-seed-oil-liquid/lifestyle.avif","assets/products/core-base-black-seed-oil-liquid/supplement-facts.avif","assets/products/core-base-black-seed-oil-liquid/label-closeup.avif"
"core-focus-berberine-capsules","Core Focus Berberine Capsules","assets/products/core-focus-berberine-capsules/primary.avif","assets/products/core-focus-berberine-capsules/lifestyle.avif","assets/products/core-focus-berberine-capsules/supplement-facts.avif","assets/products/core-focus-berberine-capsules/label-closeup.avif"
"core-base-quercetin-capsules","Core Base Quercetin Capsules","assets/products/core-base-quercetin-capsules/primary.avif","assets/products/core-base-quercetin-capsules/lifestyle.avif","assets/products/core-base-quercetin-capsules/supplement-facts.avif","assets/products/core-base-quercetin-capsules/label-closeup.avif"
"core-base-bromelain-capsules","Core Base Bromelain Capsules","assets/products/core-base-bromelain-capsules/primary.avif","assets/products/core-base-bromelain-capsules/lifestyle.avif","assets/products/core-base-bromelain-capsules/supplement-facts.avif","assets/products/core-base-bromelain-capsules/label-closeup.avif"
"core-recovery-papaya-enzyme-chewables","Core Recovery Papaya Enzyme Chewables","assets/products/core-recovery-papaya-enzyme-chewables/primary.avif","assets/products/core-recovery-papaya-enzyme-chewables/lifestyle.avif","assets/products/core-recovery-papaya-enzyme-chewables/supplement-facts.avif","assets/products/core-recovery-papaya-enzyme-chewables/label-closeup.avif"
"core-base-vitamin-a-capsules","Core Base Vitamin A Capsules","assets/products/core-base-vitamin-a-capsules/primary.avif","assets/products/core-base-vitamin-a-capsules/lifestyle.avif","assets/products/core-base-vitamin-a-capsules/supplement-facts.avif","assets/products/core-base-vitamin-a-capsules/label-closeup.avif"
"core-base-vitamin-e-softgels","Core Base Vitamin E Softgels","assets/products/core-base-vitamin-e-softgels/primary.avif","assets/products/core-base-vitamin-e-softgels/lifestyle.avif","assets/products/core-base-vitamin-e-softgels/supplement-facts.avif","assets/products/core-base-vitamin-e-softgels/label-closeup.avif"
